id,sourceLang,targetLang,sourceString,targetString
158,en,fr,lack of testing,manque de test
159,en,fr,lack of tests,manque de tests
160,en,fr,latest updates,dernières mises à jour
161,en,fr,liver failure,insuffisance hépatique
162,en,fr,local public health authority,autorité locale de santé publique
163,en,fr,lockdown,confinement
164,en,fr,lungs,poumons
165,en,fr,masks,masques
166,en,fr,measles,rougeole
167,en,fr,mechanical ventilation,ventilation mécanique
168,en,fr,media coverage,couverture médiatique
169,en,fr,medical care,soins médicaux
170,en,fr,MERS,MERS
171,en,fr,MERS CoV,MERS CoV
172,en,fr,microbiologist,microbiologiste
173,en,fr,mild cough,toux bénigne
174,en,fr,mortality rate,taux de mortalité
175,en,fr,multi-organ failure,défaillance de plusieurs organes
176,en,fr,nasal congestion,congestion nasale
177,en,fr,neutral detergent,détergent neutre
178,en,fr,new normal,nouvelle norme
179,en,fr,novel corona virus,nouveau coronavirus
180,en,fr,novel coronavirus,nouveau coronavirus
181,en,fr,novel coronavirus outbreak,nouvelle épidémie de coronavirus
182,en,fr,novel virus,nouveau virus
183,en,fr,online medical consultation,consultation médicale en ligne
184,en,fr,onset,début
185,en,fr,outbreak,épidémie
186,en,fr,outbreak readiness,préparation aux épidémies
187,en,fr,overall case fatality,nombre total de décès
188,en,fr,pandemic,pandémie
189,en,fr,pangolin,pangolin
190,en,fr,pathogen,pathogène
191,en,fr,pathology,pathologie
192,en,fr,patient care equipment,équipements de soins aux patients
193,en,fr,personal protective equipment,équipement de protection individuelle
194,en,fr,person-to-person transmission,transmission de personne à personne
195,en,fr,phlegm,mucus
196,en,fr,physical contact,contact physique
197,en,fr,plague,peste
198,en,fr,pneumonia,pneumonie
199,en,fr,pneumonias,pneumonies
200,en,fr,positive test,test positif
201,en,fr,precaution,précaution
202,en,fr,precautionary,préventif
203,en,fr,pre-existing condition,état préexistant
204,en,fr,preparedness,préparation
205,en,fr,prognosis,pronostic
206,en,fr,protect myself,me protéger
207,en,fr,protect others,protéger les autres
208,en,fr,protect yourself,protégez-vous
209,en,fr,protective measures,mesures de protection
210,en,fr,public health crisis,crise de santé publique
211,en,fr,pulmonary tissue damage,lésion des tissus pulmonaires
212,en,fr,quarantine,quarantaine
213,en,fr,rapid risk assessment,évaluation rapide des risques
214,en,fr,reagent,réactif
215,en,fr,regular flu,grippe ordinaire
216,en,fr,reinfection,réinfection
217,en,fr,renal disease,maladie rénale
218,en,fr,renal failure,insuffisance rénale
219,en,fr,respirator,appareil respiratoire
220,en,fr,respiratory,respiratoire
221,en,fr,respiratory disease,maladie respiratoire
222,en,fr,respiratory distress,détresse respiratoire
223,en,fr,respiratory droplets,gouttelettes respiratoires
224,en,fr,respiratory hygiene,hygiène respiratoire
225,en,fr,respiratory illness,maladie respiratoire
226,en,fr,respiratory syndrome,syndrome respiratoire
227,en,fr,respiratory tract disease,maladie des voies respiratoires
228,en,fr,restrictions,restrictions
229,en,fr,resurge,resurgir
230,en,fr,RNA,ARN
231,en,fr,rubeola,rubéole
232,en,fr,runny nose,nez qui coule
233,en,fr,SARS,SARS
234,en,fr,SARS-CoV-2,SARS-CoV-2
235,en,fr,SARS-CoV,SARS-CoV
236,en,fr,sars-related coronavirus,Coronavirus lié au SARS
237,en,fr,seasonal flu,grippe saisonnière
238,en,fr,seasonal influenza,grippe saisonnière
239,en,fr,secretion,sécrétion
240,en,fr,self-quarantine,quarantaine spontanée
241,en,fr,sepsis,septicémie
242,en,fr,septic shock,choc septique
243,en,fr,Severe Acute Respiratory Syndrome,Syndrome respiratoire aigu sévère
244,en,fr,shortness of breath,essoufflement
245,en,fr,sickened,malade
246,en,fr,sickness,maladie
247,en,fr,sneeze,éternuement
248,en,fr,sneezes,éternuements
249,en,fr,sneezing,éternuer
250,en,fr,social distancing,distanciation sociale
251,en,fr,sore throat,maux de gorge
252,en,fr,spanish flu,grippe espagnole
253,en,fr,specimen collection,prélèvement d'échantillons
254,en,fr,spread,propagation
255,en,fr,sputum,crachat
256,en,fr,stigmatisation,stigmatisation
257,en,fr,supportive,favorable
258,en,fr,surface,surface
259,en,fr,surfaces,surfaces
260,en,fr,suspected infection,infection suspectée
261,en,fr,swab,prélèvement
262,en,fr,swine flu,grippe porcine
263,en,fr,symptom,symptôme
264,en,fr,symptomatic,symptomatique
265,en,fr,symptoms,symptômes
266,en,fr,targeted disinfection,désinfection ciblée
267,en,fr,test kit,kit de test
268,en,fr,testing error,erreur de test
269,en,fr,tissue damage,lésions tissulaires
270,en,fr,tp shortage,pénurie de PQ
271,en,fr,toilet paper shortage,pénurie de papier toilette
272,en,fr,touch,toucher
273,en,fr,touching,touchant
274,en,fr,transmissibility,transmissibilité
275,en,fr,transmissible,transmissible
276,en,fr,transmission,transmission
277,en,fr,transmission potential,potentiel de transmission
278,en,fr,typical flu,grippe typique
279,en,fr,underlying disease,maladie sous-jacente
280,en,fr,updates,mises à jour
281,en,fr,vaccine,vaccin
282,en,fr,vaccines,vaccins
283,en,fr,ventilation,ventilation
284,en,fr,ventilator,ventilateur
285,en,fr,ventilators,ventilateurs
286,en,fr,viral infection,infection virale
287,en,fr,viral outbreak,épidémie virale
288,en,fr,viral pandemic,pandémie virale
289,en,fr,viral pneumonia,pneumonie virale
290,en,fr,virtual care,soins virtuels
291,en,fr,virulence,virulence
292,en,fr,virus itself,le virus lui-même
293,en,fr,virus outbreak,épidémie virale
294,en,fr,virus scare,peur des virus
295,en,fr,virus spreads,le virus se propage
296,en,fr,virus strain,souche virale
297,en,fr,viral transmission,transmission virale
298,en,fr,vivid-19,vivid-19
299,en,fr,washing hands,se laver les mains
300,en,fr,washing ones hands,se laver les mains
301,en,fr,wash your hands,se laver les mains
302,en,fr,white blood cell count,numération leucocytaire
303,en,fr,widespread transmission,transmission généralisée
304,en,fr,working from home,travailler à domicile
305,en,fr,WFH,Télétravail
306,en,fr,Wuhan,Wuhan
