stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_169,da,en,,,Info om corona-virus,Info about corona-virus
xx_170,da,en,,,Penge tilbage for ferie,Money returned for vacation
xx_171,da,en,,,Sådan er du stillet,This is how you are situated
xx_172,da,en,,,Forebyggelse af smitte,Prevention of infection
xx_173,da,en,,,Er du smittet?,Are you infected
xx_174,da,en,,,Vigtigste nyheder om coronavirus,The most important news about coronavirus
xx_175,da,en,,,"Smittede, døde og indlagte","Infected, deceased and admitted to hospital"
xx_176,da,en,,,"Udvikling, symptomer og behandling","Development, symptoms and treatment"
xx_177,da,en,,,De seneste danske coronatal,The latest Danish corona numbers
xx_178,da,en,,,Spørgsmål og svar om corona,Questions and answers about corona
xx_179,da,en,,,Udenrigsministeriets rejsevejledninger,The Foreign Ministry's travel guidance
xx_180,da,en,,,Hvordan påvirker coronavirus min rejse,How does coronavirus affect my trip
xx_181,da,en,,,Inddæmning af coronavirus,Containment of coronavirus
xx_182,da,en,,,Hvilke konsekvenser kan coronapandemien have,What are the consequences of the corona pandemic
xx_183,da,en,,,Hvordan behandler man coronavirus,How do you treat coronavirus
xx_184,da,en,,,Vaccine mod coronavirus,Vaccine against coronavirus
xx_185,da,en,,,Udvikling af coronavaccine,Development of corona vaccine
xx_186,da,en,,,RNA-genom,RNA-genome
xx_187,da,en,,,Udbrud med covid-19,Outbreak of covid-19
xx_188,da,en,,,Drive-in coronatest,Drive-in corona test
xx_189,da,en,,,Antal coronasmittede i Danmark,Number of people infected by corona in Denmark
xx_190,da,en,,,Selvisolation,Self isolation
xx_191,da,en,,,Hvem skal i hjemmekarantæne,Who should quarantine at home
xx_192,da,en,,,Tal for raskmeldte danskere,Number of Danes fit for work
xx_193,da,en,,,Hvor alvorlig er coronavirus?,How serious is coronavirus?
xx_194,da,en,,,Aflyst på grund af coronavirus,Canceled because of coronavirus
xx_195,da,en,,,Obligatorisk hjemmeisolation på 14 dage,Obligatory home isolation for 14 days
xx_196,da,en,,,Sådan dækker rejseforsikringen ved coronavirus,This is how travel insurance covers coronavirus
xx_197,da,en,,,Økonomiske konsekvenser af coronavirus,Economic consequences of coronavirus
xx_198,da,en,,,Udvikling af Corona i Danmark,Development of Corona in Denmark
xx_199,da,en,,,Coronavirussens genom,The coronavirus' genome
xx_200,da,en,,,Coronarelateret kriminalitet,Corona related criminality
xx_201,de,en,,,Arzt Wolfgang Wodarg,Doctor Wolfgang Wodarg
xx_202,de,en,,,aktuelle Fallzahlen,current case figures
xx_203,de,en,,,Tröpfchen- und Kontaktinfektion,droplet and contact infection
xx_204,de,en,,,RNA-Viren,RNA viruses
xx_205,de,en,,,SARS-CoV-2,SARS-CoV-2
xx_206,de,en,,,Schweres Akutes Respiratorisches Syndrom,Severe Acute Respiratory Syndrome
xx_207,de,en,,,Corona-Krise,corona crisis
xx_208,de,en,,,Epizentrum der Pandemie,epicenter of the pandemic
xx_209,de,en,,,Ausgangsbeschränkungen und Geschäftsschließungen,shelter-in-place orders and business closings
xx_210,de,en,,,Corona-Schutzmaßnahmen,corona protection measures
xx_211,de,en,,,Nudeln Seife Toilettenpapier,noodles soap toilet paper
xx_212,de,en,,,Weltweite Reisewarnung,global travel warning
xx_213,de,en,,,Rückholprogramm,repatriation program
xx_214,de,en,,,Risikogebiete,risk areas
xx_215,de,en,,,Einreiseverbot,entry ban
xx_216,de,en,,,Grenzkontrollen,border controls
xx_217,de,en,,,Umbuchungs- und Stornomöglichkeit,change and cancellation option
xx_218,de,en,,,Rettungspaket,rescue package
xx_219,de,en,,,COVID-19 Meldepflicht,COVID-19 reporting requirement
xx_220,de,en,,,#WirbleibenZuhause,#We'restayinghome
xx_221,de,en,,,Bundesgesundheitsminister Jens Spahn,Federal Health Minister Jens Spahn
xx_222,de,en,,,Besuchsverbote,ban on visits
xx_223,de,en,,,richtiges Händewaschen,correct hand washing
xx_224,de,en,,,Hygiene- und Verhaltensregeln,sanitary and behavior rules
xx_225,de,en,,,Beschränkung sozialer Kontakte,restriction of social contacts
xx_226,de,en,,,Virologe Christian Drosten,virologist Christian Drosten
xx_227,de,en,,,Exit-Strategie,exit strategy
xx_228,de,en,,,Shutdown Lockdown,shutdown lockdown
xx_229,de,en,,,Kapazität des Gesundheitssystems,capacity of the health care system
xx_230,de,en,,,Risikogruppen,risk groups
xx_231,de,en,,,Behandlungskapazitäten in Kliniken,treatment capacities in hospitals
xx_232,de,en,,,PCR-Testkits,PCR test kits
xx_233,de,en,,,Pandemieplan,pandemic plan
xx_234,de,en,,,Präsenznotbetrieb,limited presence emergency operation
xx_235,de,en,,,Corona-Impfstoff,corona vaccine
xx_236,de,en,,,Verschiebung Olympische Spiele,postponement of the Olympic Games
xx_237,de,en,,,Kurzarbeit wegen Corona,short-time work due to corona
xx_238,de,en,,,Corona digitale Bildung,corona digital literacy
xx_239,de,en,,,Schulschließungen,school closings
xx_240,de,en,,,Infektionsschutzgesetz,German Infection Protection Act
xx_241,de,en,,,Verdienstausfall von Selbständigen,Loss of earnings by the self-employed
xx_242,de,en,,,Zulassungsverfahren von Impfstoffen,approval process for vaccines
xx_243,de,en,,,Atemwegsbeschwerden,respiratory symptoms
xx_244,de,en,,,Coronavirus-Tests,coronavirus tests
xx_245,de,en,,,Reiseabsage,trip cancellation
xx_246,de,en,,,Rückkehrer Flugplan,returnee flight schedule
xx_247,de,en,,,Luftbrücke Auswärtiges Amt,Foreign Ministry airlift
xx_248,de,en,,,Umbuchungsoptionen,Rebooking options
xx_249,de,en,,,Elefand Liste,ELEFAND list
xx_250,de,en,,,Reiserücktrittversicherung,Trip cancellation insurance
1,en,af,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,aansteeklik
2,en,af,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,aktiewe gevalle
3,en,af,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,bevestigde gevalle
4,en,af,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC (VSA Sentrums vir Siektebeheer en -Voorkoming)
5,en,af,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,af,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19-toetssentrum
7,en,af,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,die coronavirus
8,en,af,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,gesigmasker
9,en,af,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,gesondheidsorgverskaffer
10,en,af,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,gesondheidsorgwerker
11,en,af,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,handewas
12,en,af,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,inkubasietydperk
13,en,af,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,isolasie
14,en,af,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,kwarantyn
15,en,af,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,kwarantyn
16,en,af,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH (VSA Nasionale Institute vir Gesondheid)
17,en,af,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,nabye kontak
18,en,af,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,oordrag
19,en,af,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,sterftes
20,en,af,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,toetssentrum
21,en,af,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,versprei
22,en,af,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,Vyf dinge om te doen
23,en,af,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Wêreldgesondheidsorganisasie
24,en,af,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WGO (WHO)
25,en,af,,,14 days in isolation,14 dae in isolasie
26,en,af,,,14 days quarantine,14 dae kwarantyn
27,en,af,,,2019 coronavirus,2019 coronavirus
28,en,af,,,2019 novel coronavirus,2019 nuwe coronavirus
29,en,af,,,2019-nCoV,2019-nCoV
30,en,af,,,2020 coronavirus,2020 coronavirus
31,en,af,,,2020 novel coronavirus,2020 nuwe coronavirus
33,en,af,,,about coronavirus,oor coronavirus
39,en,af,,,acute respiratory distress syndrome,respiratoriese noodsindroom
40,en,af,,,advanced hand sanitizer,gevorderde handontsmetmiddel
41,en,af,,,Affected by coronavirus,Geraak deur coronavirus
42,en,af,,,after exposure,ná blootstelling
43,en,af,,,After the epidemic,Ná die epidemie
44,en,af,,,After the outbreak,Ná die uitbreking
47,en,af,,,airborne virus,virus wat deur die lug versprei
48,en,af,,,alcohol based hand sanitizer,alkoholgebaseerde handontsmetmiddel
49,en,af,,,alcohol hand sanitizer,alkohol-handontsmetmiddel
51,en,af,,,alcohol-based hand sanitizer,alkoholgebaseerde handontsmetmiddel
59,en,af,,,Anti-Corona virus spray,Teencoronavirus-sproei
60,en,af,,,antibacterial hand sanitizer,antibakteriese handontsmetmiddel
61,en,af,,,ARDS,ARNS
64,en,af,,,avoid exposure,vermy blootstelling
65,en,af,,,be infected,besmet wees
75,en,af,,,Beware of coronavirus,Wees versigtig vir coronavirus
76,en,af,,,bilateral interstitial pneumonia,bilaterale interstisiële pneumonie
77,en,af,,,CDC,CDC
78,en,af,,,Center for Disease Control,Sentrum vir siektebeheer
83,en,af,,,community spread,gemeenskapsverspreiding
84,en,af,,,compulsory quarantine,gedwonge kwarantyn
85,en,af,,,contagious,aansteeklik
135,en,af,,,coronavirus,coronavirus
136,en,af,,,coronavirus (COVID-19),coronavirus (COVID-19)
137,en,af,,,coronavirus alert,coronaviruswaarskuwing
139,en,af,,,coronavirus cases,coronavirusgevalle
141,en,af,,,coronavirus concerns,coronavirusbekommernisse
143,en,af,,,coronavirus crisis,coronaviruskrisis
149,en,af,,,coronavirus disease,coronavirussiekte
150,en,af,,,Coronavirus disease (COVID-19) outbreak,Uitbreking van coronavirussiekte (COVID-19)
153,en,af,,,coronavirus early symptoms,coronavirus vroeë simptome
155,en,af,,,coronavirus epidemic,coronavirusepidemie
156,en,af,,,coronavirus exposure,coronavirusblootstelling
161,en,af,,,coronavirus incubation,coronavirusinkubasie
162,en,af,,,coronavirus incubation period,coronavirus-inkubasietydperk
163,en,af,,,coronavirus infection,coronavirusinfeksie
168,en,af,,,coronavirus map,coronaviruskaart
170,en,af,,,coronavirus medicine,coronavirusmedisyne
171,en,af,,,coronavirus medicines,coronavirusmedisynes
172,en,af,,,coronavirus news,coronavirusnuus
173,en,af,,,coronavirus outbreak,coronavirusuitbreking
174,en,af,,,coronavirus pandemic,coronaviruspandemie
176,en,af,,,coronavirus pneumonia,coronavirus-longontsteking
177,en,af,,,coronavirus precautions,coronavirus-voorsorgmaatreëls
178,en,af,,,coronavirus prevention,coronavirusvoorkoming
179,en,af,,,coronavirus protection,coronavirusbeskerming
180,en,af,,,coronavirus quarantine,coronaviruskwarantyn
182,en,af,,,coronavirus SOS Alert,coronavirus-SOS-waarskuwing
183,en,af,,,coronavirus spread,coronavirusverspreiding
184,en,af,,,coronavirus symptoms,coronavirussimptome
185,en,af,,,coronavirus transmission,coronavirusoordrag
186,en,af,,,coronavirus travel ban,coronavirus-reisverbod
187,en,af,,,coronavirus travel restrictions,coronavirus-reisbeperkings
188,en,af,,,coronavirus treatment,coronavirusbehandeling
190,en,af,,,coronavirus update,coronavirusbywerking
191,en,af,,,coronavirus vaccine,coronavirus-entstof
192,en,af,,,coronavirus vaccines,coronavirus-entstowwe
198,en,af,,,covid cases,covidgevalle
205,en,af,,,covid early symptoms,covid vroeë simptome
213,en,af,,,covid incubation period,covid-inkubasietydperk
215,en,af,,,covid international spread,covid internasionale verspreiding
216,en,af,,,covid international travel,covid reis internasionaal
217,en,af,,,covid isolation,covidisolasie
219,en,af,,,covid map,covidkaart
220,en,af,,,covid medicine,covidmedisyne
221,en,af,,,covid medicines,covidmedisynes
222,en,af,,,covid news,covidnuus
223,en,af,,,covid outbreak,coviduitbreking
224,en,af,,,covid pandemic,covidpandemie
225,en,af,,,covid panic,covidpaniek
228,en,af,,,covid SOS Alert,covid-SOS-waarskuwing
230,en,af,,,covid symptoms,covidsimptome
231,en,af,,,covid transmission,covidoordrag
232,en,af,,,covid travel ban,covid-reisverbod
233,en,af,,,covid travel restrictions,covid-reisbeperkings
234,en,af,,,covid treatment,covidbehandeling
236,en,af,,,covid vaccine,covidentstof
237,en,af,,,covid vaccines,covidentstowwe
242,en,af,,,covid-19,covid-19
243,en,af,,,covid-19 alert,covid-19-waarskuwing
244,en,af,,,covid-19 cases,covid-19-gevalle
245,en,af,,,covid-19 CDC,covid-19 CDC
246,en,af,,,covid-19 contagious,covid-19 aansteeklik
247,en,af,,,covid-19 cure,covid-19-geneesmiddel
248,en,af,,,covid-19 dangerous,covid-19 gevaarlik
249,en,af,,,covid-19 deadly,covid-19 dodelik
250,en,af,,,covid-19 death,covid-19-sterfte
251,en,af,,,covid-19 deaths,covid-19-sterftes
252,en,af,,,covid-19 domestic travel,covid-19 reis plaaslik
253,en,af,,,covid-19 early symptoms,covid-19 vroeë simptome
254,en,af,,,covid-19 effects,covid-19-effekte
255,en,af,,,covid-19 epidemic,covid-19-epidemie
256,en,af,,,covid-19 exposure,covid-19-blootstelling
257,en,af,,,covid-19 fatal,covid-19 dodelik
258,en,af,,,covid-19 fever,covid-19-koors
259,en,af,,,covid-19 illness,covid-19-siekte
260,en,af,,,covid-19 incubation,covid-19-inkubasie
261,en,af,,,covid-19 incubation period,covid-19-inkubasietydperk
262,en,af,,,covid-19 infection,covid-19-infeksie
263,en,af,,,covid-19 international spread,covid-19 internasionale verspreiding
264,en,af,,,covid-19 international travel,covid-19 reis internasionaal
265,en,af,,,covid-19 isolation,covid-19-isolasie
266,en,af,,,covid-19 lockdown,covid-19-inperking
267,en,af,,,covid-19 map,covid-19-kaart
268,en,af,,,covid-19 medicine,covid-19-medisyne
269,en,af,,,covid-19 medicines,covid-19-medisynes
270,en,af,,,covid-19 news,covid-19-nuus
271,en,af,,,covid-19 outbreak,covid-19-uitbreking
272,en,af,,,covid-19 pandemic,covid-19-pandemie
273,en,af,,,covid-19 panic,covid-19-paniek
275,en,af,,,covid-19 precautions,covid-19-voorsorgmaatreëls
276,en,af,,,covid-19 protection,covid-19-beskerming
277,en,af,,,covid-19 quarantine,covid-19-kwarantyn
278,en,af,,,covid-19 SOS Alert,covid-19-SOS-waarskuwing
279,en,af,,,covid-19 spread,covid-19-verpreiding
280,en,af,,,covid-19 symptoms,covid-19-simptome
281,en,af,,,covid-19 transmission,covid-19-oordrag
282,en,af,,,covid-19 travel ban,covid-19-reisverbod
283,en,af,,,covid-19 travel restrictions,covid-19-reisbeperkings
284,en,af,,,covid-19 treatment,covid-19-behandeling
